,dataset\000.jpg,dataset\001.jpg,dataset\002.jpg,dataset\003.jpg,dataset\004.jpg,dataset\005.jpg,dataset\006.jpg,dataset\008.jpg,dataset\011.jpg,dataset\013.jpg,dataset\014.jpg,dataset\015.jpg,dataset\016.jpg,dataset\018.jpg,dataset\019.jpg,dataset\021.jpg,dataset\022.jpg,dataset\023.jpg,dataset\026.jpg,dataset\028.jpg,dataset\031.jpg,dataset\035.jpg,dataset\038.jpg,dataset\040.jpg,dataset\041.jpg,dataset\042.jpg,dataset\043.jpg,dataset\044.jpg,dataset\045.jpg,dataset\047.jpg,dataset\049.jpg,dataset\051.jpg,dataset\052.jpg,dataset\053.jpg,dataset\055.jpg,dataset\056.jpg,dataset\057.jpg,dataset\058.jpg,dataset\059.jpg,dataset\060.jpg,dataset\062.jpg,dataset\063.jpg,dataset\065.jpg,dataset\068.jpg,dataset\070.jpg,dataset\071.jpg,dataset\073.jpg,dataset\074.jpg,dataset\075.jpg,dataset\077.jpg,dataset\078.jpg,dataset\079.jpg,dataset\080.jpg,dataset\081.jpg,dataset\083.jpg,dataset\086.jpg,dataset\088.jpg,dataset\089.jpg,dataset\092.jpg,dataset\095.jpg,dataset\098.jpg,dataset\099.jpg,dataset\100.jpg,dataset\101.jpg,dataset\102.jpg,dataset\103.jpg,dataset\104.jpg,dataset\106.jpg,dataset\107.jpg,dataset\109.jpg,dataset\110.jpg,dataset\111.jpg,dataset\112.jpg,dataset\113.jpg,dataset\116.jpg,dataset\117.jpg,dataset\118.jpg,dataset\119.jpg,dataset\120.jpg,dataset\121.jpg,dataset\122.jpg,dataset\123.jpg,dataset\124.jpg,dataset\126.jpg,dataset\128.jpg,dataset\130.jpg,dataset\133.jpg,dataset\134.jpg,dataset\135.jpg,dataset\136.jpg,dataset\137.jpg,dataset\138.jpg,dataset\139.jpg,dataset\140.jpg,dataset\141.jpg,dataset\145.jpg,dataset\146.jpg,dataset\147.jpg,dataset\148.jpg,dataset\149.jpg,dataset\150.jpg,dataset\153.jpg,dataset\154.jpg,dataset\155.jpg,dataset\156.jpg,dataset\157.jpg,dataset\158.jpg,dataset\159.jpg,dataset\160.jpg,dataset\161.jpg,dataset\162.jpg,dataset\163.jpg,dataset\164.jpg,dataset\165.jpg,dataset\166.jpg,dataset\167.jpg,dataset\170.jpg,dataset\171.jpg,dataset\172.jpg,dataset\173.jpg,dataset\174.jpg,dataset\175.jpg,dataset\176.jpg,dataset\177.jpg,dataset\178.jpg,dataset\179.jpg,dataset\180.jpg,dataset\181.jpg,dataset\182.jpg,dataset\185.jpg,dataset\186.jpg,dataset\188.jpg,dataset\190.jpg,dataset\192.jpg,dataset\193.jpg,dataset\194.jpg,dataset\195.jpg,dataset\198.jpg,dataset\199.jpg,dataset\200.jpg,dataset\202.jpg,dataset\204.jpg,dataset\206.jpg,dataset\207.jpg,dataset\208.jpg,dataset\209.jpg,dataset\213.jpg,dataset\214.jpg,dataset\215.jpg,dataset\216.jpg,dataset\217.jpg,dataset\219.jpg,dataset\220.jpg,dataset\221.jpg,dataset\222.jpg,dataset\223.jpg,dataset\225.jpg,dataset\226.jpg,dataset\228.jpg,dataset\229.jpg,dataset\230.jpg,dataset\232.jpg,dataset\233.jpg,dataset\234.jpg,dataset\235.jpg,dataset\236.jpg,dataset\237.jpg,dataset\238.jpg,dataset\239.jpg,dataset\240.jpg,dataset\243.jpg,dataset\244.jpg,dataset\246.jpg,dataset\248.jpg,dataset\250.jpg,dataset\251.jpg,dataset\252.jpg,dataset\255.jpg,dataset\257.jpg,dataset\258.jpg,dataset\259.jpg,dataset\260.jpg,dataset\261.jpg,dataset\262.jpg,dataset\263.jpg,dataset\265.jpg,dataset\266.jpg,dataset\271.jpg,dataset\272.jpg,dataset\273.jpg,dataset\275.jpg,dataset\276.jpg,dataset\277.jpg,dataset\281.jpg,dataset\283.jpg,dataset\287.jpg,dataset\288.jpg,dataset\289.jpg,dataset\290.jpg,dataset\292.jpg,dataset\294.jpg,dataset\295.jpg,dataset\296.jpg,dataset\298.jpg,dataset\299.jpg,dataset\301.jpg,dataset\302.jpg,dataset\303.jpg,dataset\304.jpg,dataset\305.jpg,dataset\306.jpg,dataset\309.jpg,dataset\310.jpg,dataset\311.jpg,dataset\312.jpg,dataset\313.jpg,dataset\314.jpg,dataset\316.jpg,dataset\318.jpg,dataset\320.jpg,dataset\321.jpg,dataset\322.jpg,dataset\323.jpg,dataset\324.jpg,dataset\325.jpg,dataset\326.jpg,dataset\329.jpg,dataset\330.jpg,dataset\331.jpg,dataset\332.jpg,dataset\334.jpg,dataset\335.jpg,dataset\338.jpg,dataset\339.jpg,dataset\341.jpg,dataset\342.jpg,dataset\344.jpg,dataset\345.jpg,dataset\346.jpg,dataset\347.jpg,dataset\348.jpg,dataset\349.jpg,dataset\351.jpg,dataset\355.jpg,dataset\356.jpg,dataset\361.jpg,dataset\363.jpg,dataset\366.jpg,dataset\367.jpg,dataset\372.jpg,dataset\373.jpg,dataset\375.jpg,dataset\376.jpg,dataset\378.jpg,dataset\380.jpg,dataset\381.jpg,dataset\382.jpg,dataset\383.jpg,dataset\385.jpg,dataset\386.jpg,dataset\388.jpg,dataset\389.jpg,dataset\390.jpg,dataset\391.jpg,dataset\393.jpg,dataset\397.jpg,dataset\398.jpg,dataset\403.jpg,dataset\406.jpg,dataset\408.jpg,dataset\409.jpg,dataset\410.jpg,dataset\411.jpg,dataset\412.jpg,dataset\413.jpg,dataset\414.jpg,dataset\416.jpg,dataset\419.jpg,dataset\420.jpg,dataset\421.jpg,dataset\423.jpg,dataset\424.jpg,dataset\425.jpg,dataset\426.jpg,dataset\427.jpg,dataset\428.jpg,dataset\429.jpg,dataset\430.jpg,dataset\431.jpg,dataset\433.jpg,dataset\434.jpg,dataset\435.jpg,dataset\437.jpg,dataset\438.jpg,dataset\439.jpg,dataset\440.jpg,dataset\442.jpg,dataset\443.jpg,dataset\444.jpg,dataset\445.jpg,dataset\446.jpg,dataset\447.jpg,dataset\451.jpg,dataset\452.jpg,dataset\454.jpg,dataset\455.jpg,dataset\457.jpg,dataset\458.jpg,dataset\460.jpg,dataset\461.jpg,dataset\462.jpg,dataset\463.jpg,dataset\464.jpg,dataset\465.jpg,dataset\467.jpg,dataset\470.jpg,dataset\472.jpg,dataset\473.jpg,dataset\474.jpg,dataset\475.jpg,dataset\476.jpg,dataset\478.jpg,dataset\479.jpg,dataset\480.jpg,dataset\484.jpg,dataset\485.jpg,dataset\488.jpg,dataset\489.jpg,dataset\491.jpg,dataset\493.jpg,dataset\494.jpg,dataset\497.jpg,dataset\498.jpg,dataset\499.jpg,dataset\500.jpg,dataset\501.jpg,dataset\502.jpg,dataset\507.jpg,dataset\508.jpg,dataset\509.jpg,dataset\510.jpg,dataset\512.jpg,dataset\513.jpg,dataset\514.jpg,dataset\515.jpg,dataset\517.jpg,dataset\518.jpg,dataset\521.jpg,dataset\524.jpg,dataset\525.jpg,dataset\526.jpg,dataset\529.jpg,dataset\530.jpg,dataset\531.jpg,dataset\532.jpg,dataset\533.jpg,dataset\535.jpg,dataset\536.jpg,dataset\537.jpg,dataset\538.jpg,dataset\540.jpg,dataset\543.jpg,dataset\544.jpg,dataset\545.jpg,dataset\549.jpg,dataset\551.jpg,dataset\554.jpg,dataset\556.jpg,dataset\558.jpg,dataset\559.jpg,dataset\560.jpg,dataset\561.jpg,dataset\563.jpg,dataset\564.jpg,dataset\565.jpg,dataset\566.jpg,dataset\567.jpg,dataset\568.jpg,dataset\569.jpg,dataset\570.jpg,dataset\572.jpg,dataset\573.jpg,dataset\574.jpg,dataset\576.jpg,dataset\579.jpg,dataset\580.jpg,dataset\582.jpg,dataset\583.jpg,dataset\584.jpg,dataset\585.jpg,dataset\586.jpg,dataset\587.jpg,dataset\588.jpg,dataset\590.jpg,dataset\591.jpg,dataset\592.jpg,dataset\593.jpg,dataset\594.jpg,dataset\596.jpg,dataset\598.jpg
dataset\000.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dataset\001.jpg,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dataset\002.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dataset\003.jpg,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dataset\004.jpg,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dataset\005.jpg,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dataset\006.jpg,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dataset\008.jpg,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dataset\011.jpg,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dataset\013.jpg,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
