,dataset_small\000.jpg,dataset_small\001.jpg,dataset_small\002.jpg,dataset_small\003.jpg,dataset_small\004.jpg,dataset_small\005.jpg,dataset_small\006.jpg,dataset_small\008.jpg,dataset_small\011.jpg,dataset_small\013.jpg,dataset_small\014.jpg,dataset_small\015.jpg,dataset_small\016.jpg
dataset_small\000.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False
dataset_small\001.jpg,False,True,False,False,False,False,False,False,False,False,False,False,False
dataset_small\002.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False
dataset_small\003.jpg,False,False,False,True,False,False,False,False,False,False,False,False,False
dataset_small\004.jpg,False,False,False,False,True,False,False,False,False,False,False,False,False
dataset_small\005.jpg,False,False,False,False,False,True,False,False,False,False,False,False,False
dataset_small\006.jpg,False,False,False,False,False,False,True,False,False,False,False,False,False
dataset_small\008.jpg,False,False,False,False,False,False,False,True,False,False,False,False,False
dataset_small\011.jpg,False,False,False,False,False,False,False,False,True,False,False,False,False
dataset_small\013.jpg,False,False,False,False,False,False,False,False,False,True,False,False,False
dataset_small\014.jpg,False,False,False,False,False,False,False,False,False,False,True,False,False
dataset_small\015.jpg,False,False,False,False,False,False,False,False,False,False,False,True,False
dataset_small\016.jpg,False,False,False,False,False,False,False,False,False,False,False,False,True
