,dataset_small\000.jpg,dataset_small\001.jpg,dataset_small\002.jpg,dataset_small\003.jpg,dataset_small\004.jpg,dataset_small\005.jpg,dataset_small\006.jpg,dataset_small\008.jpg,dataset_small\011.jpg,dataset_small\013.jpg
dataset_small\000.jpg,0.0,170.30108261108398,157.897341410319,169.19256973266602,169.88615290323892,126.93289184570312,122.78358459472656,160.52256520589194,153.59326934814453,167.50455856323242
dataset_small\001.jpg,85.13739395141602,0.0,98.68089421590169,124.1411616007487,96.80772654215495,123.56572850545247,135.79337437947592,104.78886540730794,173.60371017456055,117.66441345214844
dataset_small\002.jpg,94.74165598551433,156.31096776326498,0.0,149.04327519734701,155.26615524291992,140.66738637288412,118.49138641357422,140.14410400390625,152.0403289794922,140.86730829874674
dataset_small\003.jpg,86.02910995483398,129.44607798258463,105.715513865153,0.0,123.84039306640625,135.85002263387045,137.5164705912272,111.03865432739258,164.84763971964517,132.31166330973306
dataset_small\004.jpg,84.9989382425944,158.22677866617838,98.71691767374675,130.42816162109375,0.0,138.85012435913086,115.95732752482097,129.47169876098633,168.24780654907227,141.36222076416016
dataset_small\005.jpg,128.40890502929688,131.27444076538086,114.48918914794922,118.96866226196289,115.88425064086914,0.0,120.56228129069011,129.21011606852213,131.75184885660806,135.93852869669595
dataset_small\006.jpg,131.77696228027344,119.40161259969075,136.03335316975912,117.67819086710612,138.47170893351236,134.44618225097656,0.0,119.67452748616536,129.57433319091797,133.74408594767252
dataset_small\008.jpg,93.8664321899414,149.21308771769205,114.24489339192708,142.71329879760742,124.71059290568034,125.65414174397786,135.4501469930013,0.0,161.1820322672526,138.02463658650717
dataset_small\011.jpg,102.14859263102214,81.10852940877278,102.99938456217448,89.84181340535481,86.9540163675944,123.47699228922527,124.43673451741536,93.68482971191406,0.0,99.56330744425456
dataset_small\013.jpg,87.5367825826009,136.15003967285156,113.99271774291992,121.59979502360027,112.34253184000652,118.9205207824707,121.26274998982747,116.07692591349284,155.36442693074545,0.0
