,dataset_small\000.jpg,dataset_small\001.jpg,dataset_small\002.jpg,dataset_small\003.jpg,dataset_small\004.jpg,dataset_small\005.jpg,dataset_small\006.jpg,dataset_small\008.jpg,dataset_small\011.jpg,dataset_small\013.jpg,dataset_small\014.jpg,dataset_small\015.jpg,dataset_small\016.jpg
dataset_small\000.jpg,0.0,111.46908442179362,90.54867045084636,109.98861312866211,104.75922775268555,106.13539377848308,95.75958251953125,105.72762044270833,111.07215627034505,104.60141881306966,106.91193135579427,106.7926762898763,109.16758600870769
dataset_small\001.jpg,111.46908442179362,0.0,110.31936518351237,102.35628255208333,110.60573323567708,106.74303817749023,109.07667922973633,104.08567937215169,108.62339655558269,103.75301869710286,106.98975499471028,107.38708877563477,103.16826629638672
dataset_small\002.jpg,90.54867045084636,110.31936518351237,0.0,107.84843063354492,100.96845372517903,105.65609486897786,102.90125783284505,105.28997548421223,104.22556813557942,106.42652002970378,107.18616739908855,106.01049296061198,106.95157241821289
dataset_small\003.jpg,109.98861312866211,102.35628255208333,107.84843063354492,0.0,105.75998942057292,105.83861414591472,108.83781305948894,102.53650792439778,108.43373235066731,102.90426381429036,105.88177108764648,107.01197687784831,102.87054443359375
dataset_small\004.jpg,104.75922775268555,110.60573323567708,100.96845372517903,105.75998942057292,0.0,104.5193723042806,105.68187586466472,104.12328211466472,105.87365849812825,100.28549702962239,104.1367785135905,104.43759028116862,107.51881917317708
dataset_small\005.jpg,106.13539377848308,106.74303817749023,105.65609486897786,105.83861414591472,104.5193723042806,0.0,106.01553853352864,105.89220174153645,105.66538492838542,106.40843073527019,106.16182200113933,104.5594711303711,104.93370946248372
dataset_small\006.jpg,95.75958251953125,109.07667922973633,102.90125783284505,108.83781305948894,105.68187586466472,106.01553853352864,0.0,106.32257334391277,104.86389923095703,106.93567276000977,107.1494878133138,104.0905532836914,107.7626355489095
dataset_small\008.jpg,105.72762044270833,104.08567937215169,105.28997548421223,102.53650792439778,104.12328211466472,105.89220174153645,106.32257334391277,0.0,107.42308807373047,103.40002059936523,106.36306254069011,107.378173828125,105.51989364624023
dataset_small\011.jpg,111.07215627034505,108.62339655558269,104.22556813557942,108.43373235066731,105.87365849812825,105.66538492838542,104.86389923095703,107.42308807373047,0.0,110.59543736775716,104.33619435628255,103.25323232014973,102.88778305053711
dataset_small\013.jpg,104.60141881306966,103.75301869710286,106.42652002970378,102.90426381429036,100.28549702962239,106.40843073527019,106.93567276000977,103.40002059936523,110.59543736775716,0.0,105.40829849243164,106.76436233520508,107.79330698649089
dataset_small\014.jpg,106.91193135579427,106.98975499471028,107.18616739908855,105.88177108764648,104.1367785135905,106.16182200113933,107.1494878133138,106.36306254069011,104.33619435628255,105.40829849243164,0.0,104.51138051350911,107.71551132202148
dataset_small\015.jpg,106.7926762898763,107.38708877563477,106.01049296061198,107.01197687784831,104.43759028116862,104.5594711303711,104.0905532836914,107.378173828125,103.25323232014973,106.76436233520508,104.51138051350911,0.0,104.25724411010742
dataset_small\016.jpg,109.16758600870769,103.16826629638672,106.95157241821289,102.87054443359375,107.51881917317708,104.93370946248372,107.7626355489095,105.51989364624023,102.88778305053711,107.79330698649089,107.71551132202148,104.25724411010742,0.0
