,dataset_small\000.jpg,dataset_small\001.jpg,dataset_small\002.jpg,dataset_small\003.jpg,dataset_small\004.jpg,dataset_small\005.jpg,dataset_small\006.jpg,dataset_small\008.jpg,dataset_small\011.jpg,dataset_small\013.jpg,dataset_small\014.jpg,dataset_small\015.jpg,dataset_small\016.jpg
dataset_small\000.jpg,inf,11.614276197291755,11.432202644130607,11.421611869012258,11.513688851447075,10.12425877052014,9.056596144039643,12.509190406148292,9.342468612513583,10.774414017912399,12.786902526782931,8.937299983061266,10.238300745756012
dataset_small\001.jpg,11.614276197291755,inf,12.42378137373223,13.628167897419846,12.903664661859441,10.245937751888954,11.265637343520664,13.679024481238045,13.960601530344244,13.645075209033394,12.591295944337766,12.252259239020042,13.425892889682316
dataset_small\002.jpg,11.432202644130607,12.42378137373223,inf,11.754071023442119,12.152204119075352,9.307139636032378,11.151798029672984,11.92750638905876,11.073270900737292,11.007112670835433,12.59064279173841,10.440058821713052,11.409354547921913
dataset_small\003.jpg,11.421611869012258,13.628167897419846,11.754071023442119,inf,12.604818586772456,10.116896665813481,10.671312977461787,13.665037999270078,12.376944364528503,12.523737979095625,13.07817441050972,11.968804371951922,12.979893229433364
dataset_small\004.jpg,11.513688851447075,12.903664661859441,12.152204119075352,12.604818586772456,inf,9.35934977976402,11.233043087357906,12.21557127447823,11.675596579701846,12.3514817354253,13.219035303607274,10.810637492351807,11.905207448052323
dataset_small\005.jpg,10.12425877052014,10.245937751888954,9.307139636032378,10.116896665813481,9.35934977976402,inf,7.875366460481416,10.504982326701501,8.770992155630093,9.697684318754025,9.673119255252567,8.339767247712379,10.50826820153378
dataset_small\006.jpg,9.056596144039643,11.265637343520664,11.151798029672984,10.671312977461787,11.233043087357906,7.875366460481416,inf,10.278925479900787,11.528452816819652,10.301227849781734,11.218345448783516,10.498036328254612,10.84873873272916
dataset_small\008.jpg,12.509190406148292,13.679024481238045,11.92750638905876,13.665037999270078,12.21557127447823,10.504982326701501,10.278925479900787,inf,11.657127787026758,12.388483965742017,13.14491715359784,10.839775906562238,12.202431971503733
dataset_small\011.jpg,9.342468612513583,13.960601530344244,11.073270900737292,12.376944364528503,11.675596579701846,8.770992155630093,11.528452816819652,11.657127787026758,inf,12.908704865511222,12.30279352960439,12.44140579694006,12.479251915518951
dataset_small\013.jpg,10.774414017912399,13.645075209033394,11.007112670835433,12.523737979095625,12.3514817354253,9.697684318754025,10.301227849781734,12.388483965742017,12.908704865511222,inf,12.220646098985473,11.013533473075636,11.969878297409807
dataset_small\014.jpg,12.786902526782931,12.591295944337766,12.59064279173841,13.07817441050972,13.219035303607274,9.673119255252567,11.218345448783516,13.14491715359784,12.30279352960439,12.220646098985473,inf,10.6689422367464,11.724582848393869
dataset_small\015.jpg,8.937299983061266,12.252259239020042,10.440058821713052,11.968804371951922,10.810637492351807,8.339767247712379,10.498036328254612,10.839775906562238,12.44140579694006,11.013533473075636,10.6689422367464,inf,12.056129371092204
dataset_small\016.jpg,10.238300745756012,13.425892889682316,11.409354547921913,12.979893229433364,11.905207448052323,10.50826820153378,10.84873873272916,12.202431971503733,12.479251915518951,11.969878297409807,11.724582848393869,12.056129371092204,inf
