,dataset_small\000.jpg,dataset_small\001.jpg,dataset_small\002.jpg,dataset_small\003.jpg,dataset_small\004.jpg,dataset_small\005.jpg,dataset_small\006.jpg,dataset_small\008.jpg,dataset_small\011.jpg,dataset_small\013.jpg
dataset_small\000.jpg,1.0,0.29830091598984315,0.4261003117658402,0.20454274798932914,0.44629758981381296,0.25180040911452894,0.2816580313649824,0.13601759463423138,0.4164117481584131,0.3758943887228117
dataset_small\001.jpg,0.29830091598984315,1.0,0.3165202862847468,0.38985787376573583,0.44193718184462183,0.1530857245095669,0.2997817608119995,0.30751697863727334,0.4293107161595476,0.2883882141370646
dataset_small\002.jpg,0.4261003117658402,0.3165202862847468,1.0,0.22189907163908582,0.39689786940434735,0.21632844167009083,0.28501070306226794,0.14427904316063514,0.4270505532219132,0.27306931451281025
dataset_small\003.jpg,0.20454274798932914,0.38985787376573583,0.22189907163908582,1.0,0.3461173518916422,0.11491537855563297,0.2952882662968164,0.4439278733031247,0.2659222386397506,0.24896039657662275
dataset_small\004.jpg,0.44629758981381296,0.44193718184462183,0.39689786940434735,0.3461173518916422,1.0,0.23265942611808574,0.37113737770975114,0.20890061430115772,0.4902524864204432,0.34757031408928224
dataset_small\005.jpg,0.25180040911452894,0.1530857245095669,0.21632844167009083,0.11491537855563297,0.23265942611808574,1.0,0.1468882707110271,0.03014032263892736,0.23387561913156207,0.13429956125744885
dataset_small\006.jpg,0.2816580313649824,0.2997817608119995,0.28501070306226794,0.2952882662968164,0.37113737770975114,0.1468882707110271,1.0,0.23930386326423994,0.35017681208065143,0.290502639393072
dataset_small\008.jpg,0.13601759463423138,0.30751697863727334,0.14427904316063514,0.4439278733031247,0.20890061430115772,0.03014032263892736,0.23930386326423994,1.0,0.15483556209779858,0.2701703302922791
dataset_small\011.jpg,0.4164117481584131,0.4293107161595476,0.4270505532219132,0.2659222386397506,0.4902524864204432,0.23387561913156207,0.35017681208065143,0.15483556209779858,1.0,0.37242976002279754
dataset_small\013.jpg,0.3758943887228117,0.2883882141370646,0.27306931451281025,0.24896039657662275,0.34757031408928224,0.13429956125744885,0.290502639393072,0.2701703302922791,0.37242976002279754,1.0
