,similar_image_name
V00001.png,V00002.png
V00002.png,V00015.png
V00003.png,V00014.png
V00004.png,V00012.png
V00005.png,V00006.png
V00006.png,V00012.png
V00007.png,V00008.png
V00008.png,V00007.png
V00009.png,V00004.png
V00010.png,V00008.png
V00011.png,V00012.png
V00012.png,V00011.png
V00013.png,V00014.png
V00014.png,V00001.png
V00015.png,V00002.png
V00016.png,V00015.png
V00017.png,V00007.png
V00018.png,V00004.png
V00019.png,V00021.png
V00020.png,V00022.png
V00021.png,V00019.png
V00022.png,V00023.png
V00023.png,V00022.png
V00024.png,V00022.png
V00025.png,V00026.png
V00026.png,V00030.png
V00027.png,V00026.png
V00028.png,V00008.png
V00029.png,V00030.png
V00030.png,V00029.png
