,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n10.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n11.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n12.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n13.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n14.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n7.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n8.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n9.jpg
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_1.jpg,0.0,90.54867045084636,105.84625244140625,90.20797729492188,109.98861312866211,105.72762044270833,111.07870864868164,111.46908442179362,106.91193135579427,107.15624237060547,106.66406631469727,106.7926762898763,109.16758600870769,106.24118169148763,108.2449836730957,104.75922775268555,111.07215627034505,106.15697987874348,108.7350680033366,90.07999165852864,101.13079452514648,110.22660064697266,97.07768376668294,92.15321222941081,99.7423095703125,106.13539377848308,105.02160263061523,112.34207280476888,111.48522694905598,106.71578470865886,105.99731699625652,95.75958251953125,104.60141881306966,106.27411270141602,98.09125900268555,98.37359237670898,100.51153310139973,105.4297269185384,104.90403493245442
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_2.jpg,90.54867045084636,0.0,99.95016225179036,94.95712788899739,107.84843063354492,105.28997548421223,108.7609748840332,110.31936518351237,107.18616739908855,106.78834788004558,106.7765261332194,106.01049296061198,106.95157241821289,107.28011703491211,106.33948135375977,100.96845372517903,104.22556813557942,107.9287592569987,107.67446517944336,99.83323669433594,94.98363367716472,109.06343332926433,96.71672693888347,97.22312545776367,97.94041697184245,105.65609486897786,105.0550142923991,112.4075813293457,110.07371012369792,106.4155756632487,106.80699920654297,102.90125783284505,106.42652002970378,105.16950098673503,101.56821568806966,100.35188166300456,98.84317016601562,104.91886520385742,104.59534454345703
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_3.jpg,105.84625244140625,99.95016225179036,0.0,104.70465596516927,107.61516443888347,106.60917409261067,106.82378005981445,104.5790189107259,106.69381713867188,109.93844604492188,108.63288497924805,105.30919901529948,102.78876622517903,105.59992853800456,102.9006233215332,108.21955998738606,87.55381774902344,104.74554189046223,103.7006238301595,108.36013539632161,107.30838139851888,103.46476491292317,108.14604059855144,106.97840754191081,108.5832010904948,104.29023742675781,103.23149998982747,107.94122695922852,103.98143005371094,106.34034729003906,105.32518768310547,107.26669311523438,104.99802780151367,101.12924830118816,106.64598210652669,104.61797459920247,107.62818400065105,95.51388676961263,105.9326171875
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_4.jpg,90.20797729492188,94.95712788899739,104.70465596516927,0.0,107.64225387573242,106.26919809977214,108.53015263875325,108.44932174682617,106.73865509033203,107.70196024576823,106.59599939982097,105.32570139567058,107.54819361368816,106.59682591756184,106.79917780558269,105.90771102905273,104.48487345377605,103.95759836832683,104.91948572794597,96.44183858235677,101.96734237670898,105.03243764241536,100.20982233683269,97.97827021280925,102.59378306070964,106.11468760172527,105.1544075012207,110.988587697347,109.36773935953777,105.85662333170573,106.56414794921875,101.48868815104167,105.70600509643555,107.67768987019856,100.1508903503418,102.99449030558269,99.65686798095703,103.97769292195638,104.9042485555013
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_1.jpg,109.98861312866211,107.84843063354492,107.61516443888347,107.64225387573242,0.0,102.53650792439778,91.43006134033203,102.35628255208333,105.88177108764648,104.04686101277669,104.56981404622395,107.01197687784831,102.87054443359375,104.10669199625652,102.78179931640625,105.75998942057292,108.43373235066731,106.51968510945638,105.99178314208984,107.39333979288737,105.4048563639323,105.12364323933919,105.33225504557292,110.2760518391927,105.04211298624675,105.83861414591472,107.06175231933594,103.78697204589844,103.80218887329102,106.02635065714519,105.15530014038086,108.83781305948894,102.90426381429036,104.68129475911458,109.07540639241536,105.95956166585286,106.21262741088867,107.98045094807942,104.4117546081543
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_2.jpg,105.72762044270833,105.28997548421223,106.60917409261067,106.26919809977214,102.53650792439778,0.0,103.38614273071289,104.08567937215169,106.36306254069011,105.6346944173177,104.52959823608398,107.378173828125,105.51989364624023,105.45863469441731,105.2735226949056,104.12328211466472,107.42308807373047,105.99854787190755,106.4024035135905,105.8369140625,104.79305903116862,106.08760833740234,104.19148381551106,105.23268508911133,102.43168385823567,105.89220174153645,105.6630032857259,105.26756922403972,105.40249125162761,104.78045145670573,105.13844045003255,106.32257334391277,103.40002059936523,106.22519556681316,109.17743555704753,102.7396125793457,106.50294240315755,108.51851272583008,105.52208455403645
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_3.jpg,111.07870864868164,108.7609748840332,106.82378005981445,108.53015263875325,91.43006134033203,103.38614273071289,0.0,102.25735473632812,105.18849054972331,104.37152989705403,105.24064127604167,106.40630467732747,102.84576416015625,103.6428705851237,102.81784311930339,105.2979024251302,108.198792775472,105.97673161824544,105.9174067179362,107.96874872843425,105.60690053304036,104.72151565551758,106.82772064208984,110.60174560546875,105.186705271403,105.51356379191081,106.54220835367839,103.72639719645183,102.87358983357747,105.98527654012044,105.16138585408528,109.79885482788086,102.94746653238933,104.66680653889973,109.11446889241536,107.49074045817058,106.39778010050456,106.91908264160156,104.68097305297852
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_1.jpg,111.46908442179362,110.31936518351237,104.5790189107259,108.44932174682617,102.35628255208333,104.08567937215169,102.25735473632812,0.0,106.98975499471028,104.39867273966472,104.67377217610677,107.38708877563477,103.16826629638672,104.15290069580078,103.01119740804036,110.60573323567708,108.62339655558269,106.70927047729492,103.66308085123698,109.3729616800944,111.24356079101562,104.50429662068684,110.33950805664062,110.24830627441406,109.33614985148112,106.74303817749023,106.40542348225911,103.38615417480469,101.65378952026367,104.14155197143555,105.26243209838867,109.07667922973633,103.75301869710286,105.88687642415364,108.4855728149414,107.7306645711263,106.38566716512044,105.60787963867188,102.01604080200195
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_2.jpg,106.91193135579427,107.18616739908855,106.69381713867188,106.73865509033203,105.88177108764648,106.36306254069011,105.18849054972331,106.98975499471028,0.0,104.51816813151042,101.20806248982747,104.51138051350911,107.71551132202148,105.61356989542644,107.1437161763509,104.1367785135905,104.33619435628255,106.0806172688802,105.12742741902669,104.62664540608723,104.61159642537434,107.7080307006836,105.88417689005534,105.02334467569987,103.60886891682942,106.16182200113933,105.72998174031575,104.34447606404622,104.75831095377605,106.3685073852539,105.53520202636719,107.1494878133138,105.40829849243164,106.63187789916992,104.66667811075847,106.86108016967773,106.45997365315755,106.48967870076497,107.03785705566406
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_3.jpg,107.15624237060547,106.78834788004558,109.93844604492188,107.70196024576823,104.04686101277669,105.6346944173177,104.37152989705403,104.39867273966472,104.51816813151042,0.0,104.901429494222,103.8918685913086,105.63770167032878,104.92419306437175,105.09224319458008,100.95287704467773,109.61078135172527,106.72381337483723,106.6491330464681,106.4470443725586,105.11099624633789,106.70237986246745,105.2278200785319,106.8855094909668,102.98889668782552,106.21154530843098,105.8806749979655,104.49943415323894,105.13317108154297,105.8917007446289,105.80554962158203,105.89453125,104.48283259073894,105.66597366333008,106.6295560201009,107.0843900044759,107.38231404622395,108.42241032918294,105.63351949055989
