,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n10.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n11.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n12.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n13.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n14.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n7.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n8.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n9.jpg
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_1.jpg,2.0000000000000004,1.0193754076171941,1.0251569415488004,1.016093183471847,1.0057346064703776,1.0054215313196517,1.0057383688524681,1.0115240804861736,1.0171348207343696,1.0092707989541925,1.019231687946534,1.009740618614967,1.009139851195599,1.0077810064443786,1.011915604361926,1.0166379243578187,1.032095334558818,1.0107910298700618,1.0084809763411247,1.0165635217626796,1.0199549860466843,1.0102567788907608,1.0114919722407987,1.010331620247682,1.0064967594090695,1.0136760290662117,1.007453982364556,1.0250562678934325,1.0117584396079955,1.026045551542168,1.0049025642124099,1.0160426087444792,1.0194430501470748,1.0082844006674194,1.023195792899936,1.0190986539106832,1.0084247490135538,1.0179299606377503,1.009138004619174
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_2.jpg,1.0193754076171944,1.9999999999999998,1.0214716352597109,1.0169681630198208,1.0074685881341328,1.0038618761986118,1.0080691118876055,1.014903157802693,1.0181271289145128,1.0098720591985113,1.0135547767420876,1.015775673494834,1.009335494244853,1.0103606325074144,1.0113291285936916,1.0253748375658536,1.0328547110158834,1.0139853271116228,1.0115018155661157,1.0223047516763009,1.0239098240387412,1.00980647109103,1.0156640226890625,1.0147643621267926,1.0091989529527714,1.0102087466538805,1.0082733398410635,1.0287573600103095,1.01359073034104,1.0231139769701656,1.0072504890261464,1.0222156651976768,1.0206551842999765,1.012052365176299,1.0261498280240255,1.0199615938264064,1.0082755518326236,1.0219421682761296,1.0143149555463928
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_3.jpg,1.0251569415488002,1.0214716352597106,2.0,1.0121117697278863,1.0048140869515916,1.0045161011372281,1.0045218883514884,1.0094060278099621,1.0154297195582551,1.0090441526459186,1.0346937678058061,1.0074467026963116,1.0066859682247646,1.008256480415715,1.0091257249976053,1.0190994340751898,1.0315377304353999,1.0118201683767893,1.009268101867191,1.0152075189798482,1.0194484470413345,1.0104837460999243,1.0130856180307504,1.012217053826593,1.006752626869473,1.0077994098553236,1.005004081204867,1.0249995970081431,1.0107101416783992,1.0292558621433971,1.0057384449024007,1.0170904573999486,1.0227156195846803,1.0073427817426472,1.0260829733330343,1.0191138929157704,1.0059658216072604,1.0185316301998684,1.0087159415757019
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_4.jpg,1.016093183471847,1.0169681630198208,1.012111769727886,2.0,1.0081606306508584,1.004986269082153,1.0094999117338332,1.0140290073208915,1.009845212874833,1.0080989796465167,1.009656615585323,1.0120493302269413,1.0076410656275943,1.0105595551829898,1.0082563725528377,1.0156328231510439,1.0221208187113702,1.0126408672429337,1.0122965351788722,1.0136739168763615,1.0192378342451747,1.0121935372243018,1.0141812226377303,1.0156281246449157,1.0093571909867631,1.0101254694846784,1.0097556100707832,1.0298874473316733,1.0143861196129085,1.019527664389632,1.0083748691062298,1.014768045390316,1.019433109507932,1.012148310391871,1.0207871182347714,1.016499549681851,1.0082420961007335,1.0160431961206773,1.014321646263978
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_1.jpg,1.0057346064703776,1.0074685881341323,1.0048140869515916,1.0081606306508581,1.9999999999999996,1.0076113969484728,1.0358395769724877,1.0060284258401242,1.0091239994842462,1.009110927078727,1.006209959570938,1.0117548350251788,1.007626589651747,1.0073327393967573,1.0061856798869337,1.0089988938087953,1.0094310525777521,1.0070687502837656,1.0071441105925918,1.0056872119422222,1.00823543928597,1.005221237633774,1.004273979003761,1.0067794050156338,1.0035922891632483,1.006691158777263,1.005300805981547,1.0079847735294636,1.0074539905270985,1.008239649278434,1.0045710777952759,1.0102303490245366,1.0052179685517173,1.0062572337794622,1.0146176744450797,1.008411024835863,1.0045159669065797,1.0112713046106554,1.0074157774440062
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_2.jpg,1.0054215313196517,1.0038618761986118,1.0045161011372283,1.0049862690821534,1.0076113969484728,2.0,1.008036213378278,1.0055794449629882,1.005871488171919,1.0034016956597973,1.0070184589601219,1.0063428767679399,1.0040940544330017,1.0030835495491528,1.0041883535105058,1.0041807124583588,1.0045613072548167,1.0057062733678328,1.006469254008557,1.005642047860718,1.0050409749862281,1.0042638469812213,1.0036234992997126,1.0045223502455163,1.0031918138072615,1.0050065738684877,1.0049286305186593,1.009237329759171,1.007760454397298,1.006459711490805,1.0065021632216615,1.0041937084343342,1.0045823192073362,1.0034124196592238,1.0148966204598968,1.0084066593701835,1.0028034651793645,1.0161752764371503,1.0058719159649119
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_3.jpg,1.0057383688524684,1.0080691118876057,1.0045218883514884,1.0094999117338335,1.035839576972488,1.0080362133782779,2.0000000000000004,1.0082929166201235,1.0082500316594192,1.0095419246726727,1.0044955797568922,1.0123690585609721,1.008143949249152,1.007986830606191,1.0066949891562247,1.0087807491216385,1.0099206841343369,1.006467518562459,1.006938526926968,1.0059201905947222,1.007866625926087,1.0060746895696246,1.0051204587033207,1.0072669380606305,1.0035333293872404,1.0069757174576404,1.005815951447444,1.0100638256926338,1.0077936158039824,1.007918104368151,1.0048538557440094,1.0110758632894699,1.0067874289482868,1.006087928976895,1.0138536555553133,1.0090818720769401,1.0048151903330564,1.0114930431219926,1.0086788924097052
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_1.jpg,1.0115240804861736,1.0149031578026932,1.009406027809962,1.0140290073208913,1.006028425840124,1.0055794449629882,1.0082929166201235,2.000000000000001,1.0090449149175422,1.0102616655864523,1.0044918834989718,1.0099940022732716,1.0066438834961482,1.0067395895527507,1.0076318263567627,1.0218821773512323,1.0241100450037792,1.0132304097623874,1.010072781911297,1.0143702136471713,1.0240508089443792,1.0104813638774528,1.0124498469007646,1.009800369859591,1.0125260923632569,1.0064762497623687,1.010427627146437,1.0200311826668498,1.0141711054323763,1.0145662379578555,1.0085472726319729,1.0089878190453792,1.0117051595833353,1.0125267824839417,1.0152636352414282,1.0145811468971495,1.0090716530322985,1.010963851634471,1.0150653710462865
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_2.jpg,1.0171348207343693,1.0181271289145126,1.0154297195582556,1.0098452128748328,1.009123999484246,1.005871488171919,1.0082500316594192,1.009044914917542,2.000000000000001,1.020592430049916,1.0234026408818035,1.0155566115430765,1.0095279554509642,1.0118274619003529,1.0110393749952038,1.0186350465553304,1.0305618789631388,1.013337325434673,1.0146516323372219,1.0135244089047188,1.0154359480559596,1.0102172769028257,1.0133109469261206,1.0172665574694602,1.0064042664630908,1.0119269355994343,1.0066749468372373,1.0206129428276292,1.008948586715223,1.0140312119356119,1.005876111134739,1.0183671353986636,1.012455444028951,1.0129743381440879,1.0264941242952221,1.022257441471822,1.008938425589011,1.0242058324406735,1.0085493149693083
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_3.jpg,1.0092707989541925,1.0098720591985113,1.0090441526459186,1.0080989796465165,1.0091109270787268,1.0034016956597975,1.0095419246726727,1.010261665586452,1.020592430049916,1.9999999999999991,1.010079917577286,1.0147616124433898,1.009698167964919,1.0162385354751184,1.0157055522077356,1.0156622772703903,1.0200879987741045,1.010142454124649,1.0138664156612645,1.0104535511294501,1.0110119875617873,1.013323024502393,1.0093607995320204,1.0153937685818395,1.0044078466560895,1.0105996760550522,1.008252190955695,1.0212517885585175,1.020964075060163,1.0125612372559392,1.0079956870682825,1.0186235310948546,1.0078698746329724,1.0124402087931348,1.0159241773240013,1.0293792873443748,1.0082229206127022,1.0129122401045818,1.0099325691241734
