,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n10.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n11.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n12.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n13.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n14.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n7.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n8.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n9.jpg
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_1.jpg,inf,11.432202644130607,9.571607043455355,10.513924585228198,11.421611869012258,12.509190406148292,11.335628947854149,11.614276197291755,12.786902526782931,11.153868119944496,13.550511071198228,8.937299983061266,10.238300745756012,11.391528617770897,10.175489461365776,11.513688851447075,9.342468612513583,10.174802541172722,9.63187556729373,11.960344438929067,12.397682042323924,10.517867345700758,10.52773944446821,10.47371611112582,14.054687744986092,10.12425877052014,10.869879493283179,9.960878962224498,11.61869010819702,8.612929797355726,12.481112517909924,9.056596144039643,10.774414017912399,12.564344592659843,8.193662068412873,7.367152746933549,10.43835472617252,9.461702181100808,10.613646724350454
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_2.jpg,11.432202644130607,inf,10.71077545007219,10.727034496735435,11.754071023442119,11.92750638905876,11.781308926191798,12.42378137373223,12.59064279173841,12.100687146243118,12.486650445492906,10.440058821713052,11.409354547921913,11.068285914015432,11.225916851553308,12.152204119075352,11.073270900737292,10.11153997787864,9.039303569694827,10.291045506730951,11.49388705321859,8.897075262078918,9.884803785437501,10.599444008532043,12.71496203018738,9.307139636032378,8.979494731251174,7.497645229788022,9.478503185818525,6.832173996779086,11.019416598706247,11.151798029672984,11.007112670835433,10.324948834640754,8.587042510507402,8.018810293176333,9.39816383065626,8.76078819792475,10.495997484965919
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_3.jpg,9.571607043455355,10.71077545007219,inf,10.333518712562315,12.57182773577441,12.006125548806663,12.755589596554477,13.694333302940649,12.451717038530177,12.726991924131664,12.640077673430065,11.61787267692139,12.831140478078781,10.204490669460355,11.707707746733679,11.730866399343231,16.69503251600065,9.41326599956647,8.28577919195679,10.446857829194023,12.092406376989915,7.716571821180561,11.822495597171454,9.857775783425385,10.916227127101594,9.515747385335631,7.861964658030858,6.888594132029078,9.026875280352519,7.550068149299536,10.231731707631077,11.449608182959917,13.276619297538799,8.413706288309143,9.56930233043686,11.757253979930509,9.6171617967817,6.41096832489829,12.338213847294384
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_4.jpg,10.513924585228198,10.727034496735435,10.333518712562315,inf,11.22777630165758,11.05544642722645,11.175523810240012,11.653075093859082,10.810002418467828,10.856651013729815,11.317855848308774,10.100302456391804,10.496421289122546,9.789142125972134,10.56132527466173,10.390764744600025,10.239087289813732,9.177222869602298,8.1218092831973,9.734653551682527,10.606887607493068,8.317303963591517,9.622602157600747,9.446283141585742,11.17629721705056,8.893011910840077,8.083940043094573,7.4229573118455905,9.287120006997249,6.768550474264377,10.14994129783349,9.546634194898575,10.831165044947324,9.800080130326933,7.676883123055821,7.977496303226253,9.060338525990524,7.9411321331404405,9.990134237069919
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_1.jpg,11.421611869012258,11.754071023442119,12.57182773577441,11.22777630165758,inf,13.665037999270078,15.854774841905837,13.628167897419846,13.07817441050972,13.755268368977019,13.47599215328584,11.968804371951922,12.979893229433364,11.296333024795375,12.641654178369318,12.604818586772456,12.376944364528503,9.726947490591416,9.132374646083822,10.953503790383365,12.240404997733146,9.349179439096458,11.712555867147953,10.823757933233844,13.34743297263499,10.116896665813481,9.260931405219935,7.814753016405128,10.001856151641883,7.319771822117653,11.8419351904057,10.671312977461787,12.523737979095625,10.783674475713418,9.163881949946507,8.930067763181688,10.108162698047137,8.260755720481713,11.81618626428872
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_2.jpg,12.509190406148292,11.92750638905876,12.006125548806663,11.05544642722645,13.665037999270078,inf,13.610372223707909,13.679024481238045,13.14491715359784,12.821338780533658,14.150566722893121,10.839775906562238,12.202431971503733,11.642167884843392,11.875645675139845,12.21557127447823,11.657127787026758,9.834378142840142,9.03144253127634,11.83382405738617,12.349868654805338,9.463243022288093,11.444393750231853,11.345339511266433,13.784662860363843,10.504982326701501,9.527520506438263,8.680170710643162,10.453159720371568,8.147333474041984,12.159404041054946,10.278925479900787,12.388483965742017,11.127446819576225,9.383594454508485,8.767255093833318,10.584238780729496,8.921688564202647,11.90952220755384
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_3.jpg,11.335628947854149,11.781308926191798,12.755589596554477,11.175523810240012,15.854774841905837,13.610372223707909,inf,14.02314569500797,13.062071670213584,13.75532495264023,13.3420571577383,12.032171098070371,13.232353512194583,11.342768450904542,12.778210941455061,12.578466043068088,12.685337862801088,9.796250488591841,9.212213100529246,10.900250975847234,12.282557418342936,9.255549162720502,11.641827465493398,10.718915460464782,13.261857679705233,10.07789782520968,9.049501616972849,7.637009455594823,9.773024227343578,7.252437518157456,11.555335407777818,10.666985237324933,12.80953213051772,10.638355673110409,9.371196291254545,9.282515895594006,10.099866745600128,8.129682190538508,12.084283982488493
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_1.jpg,11.614276197291755,12.42378137373223,13.694333302940649,11.653075093859082,13.628167897419846,13.679024481238045,14.02314569500797,inf,12.591295944337766,13.046826212143547,13.172043628725119,12.252259239020042,13.425892889682316,11.160147987847203,12.633420123982024,12.903664661859441,13.960601530344244,10.390035132851922,9.356183704880676,11.553279931850224,12.936553477971868,9.244831484334657,11.787640427946126,11.87272125136424,13.61351244574793,10.245937751888954,8.835939401233347,8.061931334559851,10.372048014049264,7.705636973773105,11.830869104086494,11.265637343520664,13.645075209033394,10.97093071821558,9.541712779371686,9.708562134712247,10.758216002559102,7.637131608472863,12.797153084750239
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_2.jpg,12.786902526782931,12.59064279173841,12.451717038530177,10.810002418467828,13.07817441050972,13.14491715359784,13.062071670213584,12.591295944337766,inf,14.372295327402657,15.536788177265116,10.6689422367464,11.724582848393869,12.33832898764458,11.826935586038159,13.219035303607274,12.30279352960439,10.592268682838913,9.560091775558416,11.46158072640892,13.125885701637186,9.251545495930987,11.267351886156696,9.913134239270603,13.509747382485724,9.673119255252567,9.763028037846432,8.11362246694139,10.419521261545539,8.040251400057922,12.103268179581699,11.218345448783516,12.220646098985473,10.423078331724152,9.069852609107263,9.292227081803356,10.021671863356705,9.161507338783952,11.251496684828036
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_3.jpg,11.153868119944496,12.100687146243118,12.726991924131664,10.856651013729815,13.755268368977019,12.821338780533658,13.75532495264023,13.046826212143547,14.372295327402657,inf,13.889126440179108,12.40092961779138,12.929896477587757,12.726799972726095,13.27299138600073,13.179196023728842,12.821851063672762,10.167137188797684,9.403257262440164,10.465533099514703,12.115671520319214,8.714917675280937,11.405376540950176,10.115417256280793,13.070211257203459,9.214618466382063,9.222621098410542,7.089881560480402,9.433300949077644,6.800411329181985,11.342720839807859,11.899390314327796,12.067752431367847,10.006780951999453,9.191630454290124,9.766434251295635,10.24527773935586,8.477838048379216,11.44574319799119
