,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n10.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n11.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n12.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n13.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n14.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n7.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n8.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n9.jpg
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_1.jpg,1.0,0.4261003117658402,0.4335996081274477,0.38259866359048517,0.20454274798932914,0.13601759463423138,0.21843326963073273,0.29830091598984315,0.27887411346060603,0.2567536141105196,0.21113393502489478,0.21076168296527592,0.19040350059746292,0.26073133362822903,0.23851337935446726,0.44629758981381296,0.4164117481584131,0.30171625343997194,0.22838773840976218,0.43144136421725726,0.48264055602602096,0.3350625171450667,0.3659455126284972,0.3529776222005437,0.5366529253844196,0.25180040911452894,0.21766376075950383,0.5971075000693445,0.37931872763333463,0.39573963213228325,0.21230849426814627,0.2816580313649824,0.3758943887228117,0.4516444898128985,0.04679876888370365,0.07980418376867818,0.29026046650889037,0.0811371338281953,0.1652365951817666
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_2.jpg,0.4261003117658402,1.0,0.39019593866920693,0.3817761878746411,0.22189907163908582,0.14427904316063514,0.23474787555642873,0.3165202862847468,0.40364463155713626,0.3168216858375683,0.25860588139372914,0.2933087271949525,0.22164744810609552,0.21200654517147727,0.22111417251386234,0.39689786940434735,0.4270505532219132,0.20132815652455363,0.14603308318699587,0.33195840930342846,0.38849258692312827,0.23698988619570485,0.2736863362815984,0.2867979168721249,0.41188059888531986,0.21632844167009083,0.14619311233775267,0.48416566155604757,0.3240120056114099,0.30281572474483553,0.2144358933941872,0.28501070306226794,0.27306931451281025,0.4088519875704453,0.07612427110538493,0.057955565952579155,0.29423186143112207,0.15929072243576772,0.11826930184916538
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_3.jpg,0.4335996081274477,0.39019593866920693,1.0,0.3294584965574081,0.2108392936474658,0.1335965660004103,0.2183627458241251,0.3220068567991743,0.32685142530652933,0.31565147476130584,0.2198722754756238,0.24817087035760022,0.20769529979014198,0.23948998721555184,0.23513856573868477,0.4411888556379874,0.5659990105228739,0.25988323130169466,0.2118220093900641,0.39995500046004906,0.4588321635091306,0.2726185107511138,0.3604895488265842,0.2674890826643537,0.448618479684125,0.24165667277831782,0.18007993960882246,0.4978985104752505,0.3506615953587299,0.39425644977292157,0.19681940390139735,0.2995885065024471,0.36983819891891984,0.37586175897365576,0.0368523782503236,0.14936106825168383,0.3219745499841092,0.07326018953970123,0.1384396957731105
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_4.jpg,0.38259866359048517,0.3817761878746411,0.3294584965574081,1.0,0.19218868876434952,0.1408621069233963,0.1962874874893371,0.24875178690382638,0.2759646545835007,0.2299562032460588,0.2000642588234811,0.22730339540591335,0.20024704916974945,0.1803626913997223,0.20403861717893965,0.32026855874163696,0.34899303802006537,0.19003169497128736,0.1248021564350383,0.286403588788298,0.3533310992996129,0.20587901567480135,0.24426166493912546,0.26037601450912307,0.367596888969737,0.22658082739561983,0.11809490353251728,0.42155122351131397,0.2936154013271954,0.29384904503469417,0.19100526861879452,0.22458078600368644,0.2904066863301719,0.34916101679278433,0.060578879225573166,0.04529441651371532,0.24293462665679386,0.13351601589145326,0.0932491595865742
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_1.jpg,0.20454274798932914,0.22189907163908582,0.2108392936474658,0.19218868876434952,1.0,0.4439278733031247,0.6132618306164616,0.38985787376573583,0.21206974906538467,0.3271910506586942,0.17134161345536614,0.3319425855616505,0.360936911887043,0.3209227636573149,0.3485035094549371,0.3461173518916422,0.2659222386397506,-0.05247646085392338,-0.040136251384950125,0.1861864622220741,0.21951143834693324,0.10289429900283861,0.1416120088368396,0.15837738371469468,0.23982023845690367,0.11491537855563297,-0.05907988284746975,0.26830288669974556,0.14907017390793903,0.17867168763995764,0.17840509045272054,0.2952882662968164,0.24896039657662275,0.24269410994789725,0.2620584215629264,-0.007310707493726526,0.27442128156419743,0.32762012723880357,0.1603749785220183
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_2.jpg,0.13601759463423138,0.14427904316063514,0.1335965660004103,0.1408621069233963,0.4439278733031247,1.0,0.4157517595322825,0.30751697863727334,0.13496681159493384,0.21638309620366353,0.2522606541517406,0.2034748457841879,0.3020761057824735,0.28481982726757976,0.265753948711451,0.20890061430115772,0.15483556209779858,-0.19048181092016475,-0.18385046224353888,0.06857062052757326,0.10227431864078018,-0.03366998851451855,0.014019902265470539,0.1956594289099925,0.15886699394019477,0.03014032263892736,-0.10854660191734243,0.17944165845208754,0.0540262757657595,0.13824764461941783,0.24091658037825983,0.23930386326423994,0.2701703302922791,0.1876847700169063,0.2998082859817991,-0.03231970449995819,0.25030984831747977,0.4958026600904164,0.18295730200229127
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_3.jpg,0.21843326963073273,0.23474787555642873,0.2183627458241251,0.1962874874893371,0.6132618306164616,0.4157517595322825,1.0,0.40549119873585443,0.22772865256630415,0.3430451712308971,0.20603886916795902,0.34498998274980225,0.36076479867324696,0.3177137783903887,0.3518905095436366,0.3551248549580239,0.28576657914074316,-0.031783881182400074,-0.023673423761375555,0.1861310992264514,0.22935745590913728,0.10321755540420498,0.1448775892556678,0.17100257143080375,0.2507597269010834,0.12751785473778715,-0.03907779328798689,0.27841793274056825,0.14367334388914352,0.18485492257360045,0.15645230913731628,0.28983398004516003,0.2674547816474012,0.2500940862132085,0.2748908929846582,-0.0004658441372951288,0.2832349228144738,0.30502893805731,0.15488681264747792
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_1.jpg,0.29830091598984315,0.3165202862847468,0.3220068567991743,0.24875178690382638,0.38985787376573583,0.30751697863727334,0.40549119873585443,1.0,0.2916163083335891,0.40492373467055537,0.1435939845801638,0.3551305910654917,0.3492352838299264,0.38643542840756484,0.3642496146776815,0.44193718184462183,0.4293107161595476,0.09046965286033874,0.11138100228362645,0.3176875826475838,0.3306645317690049,0.22606166560308627,0.286468833615613,0.18117475383361614,0.33102436846834343,0.1530857245095669,0.019378944189883722,0.3640962947674273,0.19000865862272553,0.25960665151324097,0.22903903199906686,0.2997817608119995,0.2883882141370646,0.298896313253261,0.20327562691733492,0.10003205515535095,0.372853884989666,0.18367591303590372,0.20812522880954906
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_2.jpg,0.27887411346060603,0.40364463155713626,0.32685142530652933,0.2759646545835007,0.21206974906538467,0.13496681159493384,0.22772865256630415,0.2916163083335891,1.0,0.4234305377493303,0.3491112401317883,0.3046234505569817,0.23936395519554518,0.08763831707434391,0.17824572573465633,0.27115462573081517,0.35146612515935405,0.11064545824775883,0.06501305460047511,0.25635479795413485,0.3197676390939319,0.12995477466538383,0.24907145679011852,0.19076618989411356,0.2682147286015259,0.21262283494745432,0.03928566506972742,0.35621341598101436,0.2161514933510249,0.2273818487039647,0.2226889210486066,0.20329154685276765,0.15388695346065173,0.3275894672295865,0.10743380912012344,0.00848159278102804,0.2858653179292245,0.20577259892901237,0.047682659496130826
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_3.jpg,0.2567536141105196,0.3168216858375683,0.31565147476130584,0.2299562032460588,0.3271910506586942,0.21638309620366353,0.3430451712308971,0.40492373467055537,0.4234305377493303,1.0,0.264133721563466,0.3208916285593086,0.26521109700210893,0.19677591831320018,0.23452584270337518,0.3619704858427387,0.3961628682308457,0.10508321720809648,0.07632425349548431,0.26048214062389397,0.30168698751634476,0.1495890300786269,0.24931553080329202,0.19062403403484945,0.2837479153509042,0.2024276182021393,0.052796609964276854,0.3463613632303427,0.2150921792409912,0.23965743522518718,0.2475432402409502,0.29006661132478734,0.25658391917335044,0.33318613411374876,0.1950436571343125,0.07531005507459085,0.3330454361316151,0.18949564423409598,0.14988513915793789
